id,country,region,subregion
afghanistan,Afghanistan,Asia,Central Asia
albania,Albania,Europe,Balkans
algeria,Algeria,Africa,North Africa
andorra,Andorra,Europe,Western Europe
angola,Angola,Africa,Southern Africa
antigua-and-barbuda,Antigua and Barbuda,North America,Caribbean
argentina,Argentina,South America,South America
armenia,Armenia,Asia,Caucasus
australia,Australia,Oceania,Australia & New Zealand
austria,Austria,Europe,Western Europe
azerbaijan,Azerbaijan,Asia,Caucasus
bahamas,Bahamas,North America,Caribbean
bahrain,Bahrain,Asia,Middle East
bangladesh,Bangladesh,Asia,South Asia
barbados,Barbados,North America,Caribbean
belarus,Belarus,Europe,Eastern Europe
belgium,Belgium,Europe,Western Europe
belize,Belize,North America,Central America
benin,Benin,Africa,West Africa
bhutan,Bhutan,Asia,South Asia
bolivia,Bolivia,South America,South America
bosnia-and-herzegovina,Bosnia and Herzegovina,Europe,Balkans
botswana,Botswana,Africa,Southern Africa
brazil,Brazil,South America,South America
brunei,Brunei,Asia,Southeast Asia
bulgaria,Bulgaria,Europe,Balkans
burkina-faso,Burkina Faso,Africa,West Africa
burundi,Burundi,Africa,East Africa
cabo-verde,Cabo Verde,Africa,West Africa
cambodia,Cambodia,Asia,Southeast Asia
cameroon,Cameroon,Africa,Central Africa
canada,Canada,North America,North America
central-african-republic,Central African Republic,Africa,Central Africa
chad,Chad,Africa,Central Africa
chile,Chile,South America,South America
china,China,Asia,East Asia
colombia,Colombia,South America,South America
comoros,Comoros,Africa,East Africa
congo,Congo,Africa,Central Africa
costa-rica,Costa Rica,North America,Central America
cote-divoire,Côte d’Ivoire,Africa,West Africa
croatia,Croatia,Europe,Balkans
cuba,Cuba,North America,Caribbean
cyprus,Cyprus,Asia,Middle East
czechia,Czechia,Europe,Eastern Europe
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Central Africa
denmark,Denmark,Europe,Northern Europe
djibouti,Djibouti,Africa,East Africa
dominica,Dominica,North America,Caribbean
dominican-republic,Dominican Republic,North America,Caribbean
ecuador,Ecuador,South America,South America
egypt,Egypt,Africa,North Africa
el-salvador,El Salvador,North America,Central America
equatorial-guinea,Equatorial Guinea,Africa,Central Africa
eritrea,Eritrea,Africa,East Africa
estonia,Estonia,Europe,Northern Europe
eswatini,Eswatini,Africa,Southern Africa
ethiopia,Ethiopia,Africa,East Africa
fiji,Fiji,Oceania,Pacific
finland,Finland,Europe,Northern Europe
france,France,Europe,Western Europe
gabon,Gabon,Africa,Central Africa
gambia,Gambia,Africa,West Africa
georgia,Georgia,Asia,Caucasus
germany,Germany,Europe,Western Europe
ghana,Ghana,Africa,West Africa
greece,Greece,Europe,Southern Europe
grenada,Grenada,North America,Caribbean
guatemala,Guatemala,North America,Central America
guinea,Guinea,Africa,West Africa
guinea-bissau,Guinea-Bissau,Africa,West Africa
guyana,Guyana,South America,South America
haiti,Haiti,North America,Caribbean
honduras,Honduras,North America,Central America
